,id_site,activity_type,week_from,week_to,code_mod_pres
75,546997,resource,,,AAA2013J
76,546887,url,,,AAA2013J
77,547034,resource,,,AAA2013J
78,546896,url,,,AAA2013J
79,546677,oucontent,,,AAA2013J
80,546930,resource,,,AAA2013J
81,546707,oucontent,,,AAA2013J
82,546994,resource,,,AAA2013J
83,546883,url,,,AAA2013J
84,547030,resource,,,AAA2013J
85,546890,url,,,AAA2013J
86,546674,oucontent,,,AAA2013J
87,546925,resource,,,AAA2013J
88,546704,oucontent,,,AAA2013J
89,546990,resource,,,AAA2013J
90,546874,subpage,,,AAA2013J
91,547026,resource,,,AAA2013J
92,546670,oucontent,,,AAA2013J
93,546922,resource,,,AAA2013J
94,546701,oucontent,,,AAA2013J
95,546987,resource,,,AAA2013J
96,546871,subpage,,,AAA2013J
97,547023,resource,,,AAA2013J
98,546667,oucontent,,,AAA2013J
99,546919,resource,,,AAA2013J
100,546697,oucontent,,,AAA2013J
101,546984,resource,,,AAA2013J
102,546738,oucontent,,,AAA2013J
103,547020,resource,,,AAA2013J
104,546664,oucontent,,,AAA2013J
105,546694,oucontent,,,AAA2013J
106,546975,resource,,,AAA2013J
107,546735,oucontent,,,AAA2013J
108,547017,resource,,,AAA2013J
109,546660,glossary,,,AAA2013J
110,546916,resource,,,AAA2013J
111,546691,oucontent,,,AAA2013J
112,546971,resource,,,AAA2013J
113,546732,oucontent,2.0,2.0,AAA2013J
114,547013,resource,,,AAA2013J
115,546657,forumng,,,AAA2013J
116,546913,resource,,,AAA2013J
117,546688,oucontent,,,AAA2013J
118,546966,resource,,,AAA2013J
119,546726,oucontent,,,AAA2013J
120,547009,resource,,,AAA2013J
121,547050,dataplus,,,AAA2013J
122,546654,forumng,,,AAA2013J
123,546909,resource,,,AAA2013J
124,546685,oucontent,,,AAA2013J
125,546960,resource,,,AAA2013J
126,546721,oucontent,,,AAA2013J
127,547006,resource,,,AAA2013J
128,547047,dataplus,,,AAA2013J
129,546651,forumng,,,AAA2013J
130,546905,url,,,AAA2013J
131,546952,resource,,,AAA2013J
132,546716,oucontent,,,AAA2013J
133,547003,resource,,,AAA2013J
134,547040,resource,,,AAA2013J
135,546648,forumng,,,AAA2013J
136,546901,url,,,AAA2013J
137,546682,oucontent,,,AAA2013J
138,546947,resource,,,AAA2013J
139,546713,oucontent,,,AAA2013J
140,547000,resource,,,AAA2013J
141,546889,url,,,AAA2013J
142,547036,resource,,,AAA2013J
143,546644,forumng,,,AAA2013J
144,546898,url,,,AAA2013J
145,546679,oucontent,,,AAA2013J
146,546935,resource,,,AAA2013J
147,546709,oucontent,,,AAA2013J
148,546996,resource,,,AAA2013J
149,546885,url,,,AAA2013J
150,547032,resource,,,AAA2013J
151,546894,url,,,AAA2013J
152,546676,oucontent,,,AAA2013J
153,546928,resource,,,AAA2013J
154,546706,oucontent,,,AAA2013J
155,546992,resource,,,AAA2013J
156,546879,subpage,,,AAA2013J
157,547028,resource,,,AAA2013J
158,546672,oucontent,,,AAA2013J
159,546924,resource,,,AAA2013J
160,546703,oucontent,,,AAA2013J
161,546989,resource,,,AAA2013J
162,546873,subpage,,,AAA2013J
163,547025,resource,,,AAA2013J
164,546669,oucontent,,,AAA2013J
165,546921,resource,,,AAA2013J
166,546700,oucontent,,,AAA2013J
167,546986,resource,,,AAA2013J
168,546740,oucontent,,,AAA2013J
169,547022,resource,,,AAA2013J
170,546666,oucontent,,,AAA2013J
171,546918,resource,,,AAA2013J
172,546696,oucontent,,,AAA2013J
173,546983,resource,,,AAA2013J
174,546737,oucontent,,,AAA2013J
175,547019,resource,,,AAA2013J
176,546662,oucontent,,,AAA2013J
177,546693,oucontent,,,AAA2013J
178,546974,resource,,,AAA2013J
179,546734,oucontent,,,AAA2013J
180,547015,resource,,,AAA2013J
181,546659,forumng,,,AAA2013J
182,546915,resource,,,AAA2013J
183,546690,oucontent,,,AAA2013J
184,546970,resource,,,AAA2013J
185,546731,oucontent,,,AAA2013J
186,547012,resource,,,AAA2013J
187,547067,oucollaborate,,,AAA2013J
188,546656,forumng,,,AAA2013J
189,546911,resource,,,AAA2013J
190,546687,oucontent,,,AAA2013J
191,546965,resource,,,AAA2013J
192,546725,oucontent,,,AAA2013J
193,547008,resource,,,AAA2013J
194,547049,dataplus,,,AAA2013J
195,546653,forumng,,,AAA2013J
196,546907,resource,,,AAA2013J
197,546955,resource,,,AAA2013J
198,546719,oucontent,1.0,1.0,AAA2013J
199,547005,resource,,,AAA2013J
200,547043,resource,,,AAA2013J
201,546650,forumng,,,AAA2013J
202,546904,url,,,AAA2013J
203,546684,oucontent,,,AAA2013J
204,546949,resource,,,AAA2013J
205,546715,oucontent,,,AAA2013J
206,547002,resource,,,AAA2013J
207,547038,resource,,,AAA2013J
208,546647,forumng,,,AAA2013J
209,546900,url,,,AAA2013J
210,546681,oucontent,1.0,1.0,AAA2013J
211,877162,resource,,,AAA2014J
212,877223,resource,,,AAA2014J
213,877032,oucontent,,,AAA2014J
214,877263,resource,,,AAA2014J
215,877064,oucontent,,,AAA2014J
216,877098,oucontent,,,AAA2014J
217,877157,resource,,,AAA2014J
218,877220,resource,,,AAA2014J
219,877029,glossary,,,AAA2014J
220,877260,resource,,,AAA2014J
221,877061,oucontent,,,AAA2014J
222,1032910,url,,,AAA2014J
223,877094,oucontent,,,AAA2014J
224,877154,resource,,,AAA2014J
225,877217,resource,,,AAA2014J
226,877025,forumng,,,AAA2014J
227,877256,resource,,,AAA2014J
228,877058,oucontent,,,AAA2014J
229,877423,dataplus,,,AAA2014J
230,877091,oucontent,,,AAA2014J
231,877151,resource,,,AAA2014J
232,877214,resource,,,AAA2014J
233,877012,forumng,,,AAA2014J
234,877253,resource,,,AAA2014J
235,877055,oucontent,,,AAA2014J
236,877420,dataplus,,,AAA2014J
237,877088,oucontent,,,AAA2014J
238,877148,resource,,,AAA2014J
239,877211,resource,,,AAA2014J
240,877247,resource,,,AAA2014J
241,877052,oucontent,,,AAA2014J
242,877402,url,,,AAA2014J
243,877085,oucontent,,,AAA2014J
244,877145,resource,,,AAA2014J
245,877208,resource,,,AAA2014J
246,877244,resource,,,AAA2014J
247,877049,oucontent,,,AAA2014J
248,877397,url,,,AAA2014J
249,877081,oucontent,,,AAA2014J
250,877142,resource,,,AAA2014J
251,877203,resource,,,AAA2014J
252,877241,resource,,,AAA2014J
253,877046,oucontent,,,AAA2014J
254,877394,url,,,AAA2014J
255,877078,oucontent,,,AAA2014J
256,877197,resource,,,AAA2014J
257,877237,resource,,,AAA2014J
258,877043,oucontent,,,AAA2014J
259,877387,url,,,AAA2014J
260,877075,oucontent,,,AAA2014J
261,877139,resource,,,AAA2014J
262,877190,resource,,,AAA2014J
263,877233,resource,,,AAA2014J
264,877040,oucontent,2.0,2.0,AAA2014J
265,877384,url,,,AAA2014J
266,877072,oucontent,,,AAA2014J
267,877135,subpage,,,AAA2014J
268,877184,resource,,,AAA2014J
269,877229,resource,,,AAA2014J
270,877037,oucontent,,,AAA2014J
271,877380,oucollaborate,,,AAA2014J
272,877069,oucontent,,,AAA2014J
273,877132,subpage,,,AAA2014J
274,877172,resource,,,AAA2014J
275,877225,resource,,,AAA2014J
276,877034,oucontent,,,AAA2014J
277,877265,resource,,,AAA2014J
278,877066,oucontent,,,AAA2014J
279,877100,oucontent,,,AAA2014J
280,877159,resource,,,AAA2014J
281,877222,resource,,,AAA2014J
282,877031,oucontent,,,AAA2014J
283,877262,resource,,,AAA2014J
284,877063,oucontent,,,AAA2014J
285,1072237,url,,,AAA2014J
286,877096,oucontent,,,AAA2014J
287,877156,resource,,,AAA2014J
288,877219,resource,,,AAA2014J
289,877028,glossary,,,AAA2014J
290,877259,resource,,,AAA2014J
291,877060,oucontent,,,AAA2014J
292,1027118,url,,,AAA2014J
293,877093,oucontent,,,AAA2014J
294,877153,resource,,,AAA2014J
295,877216,resource,,,AAA2014J
296,877023,forumng,,,AAA2014J
297,877255,resource,,,AAA2014J
298,877057,oucontent,,,AAA2014J
299,877422,dataplus,,,AAA2014J
300,877090,oucontent,,,AAA2014J
301,877150,resource,,,AAA2014J
302,877213,resource,,,AAA2014J
303,877011,forumng,,,AAA2014J
304,877252,resource,,,AAA2014J
305,877054,oucontent,,,AAA2014J
306,877404,url,,,AAA2014J
307,877087,oucontent,,,AAA2014J
308,877147,resource,,,AAA2014J
309,877210,resource,,,AAA2014J
310,877246,resource,,,AAA2014J
311,877051,oucontent,,,AAA2014J
312,877399,url,,,AAA2014J
313,877084,oucontent,,,AAA2014J
314,877144,resource,,,AAA2014J
315,877207,resource,,,AAA2014J
316,877243,resource,,,AAA2014J
317,877048,oucontent,,,AAA2014J
318,877396,url,,,AAA2014J
319,877080,oucontent,,,AAA2014J
320,877141,resource,,,AAA2014J
321,877199,resource,,,AAA2014J
322,877240,resource,,,AAA2014J
323,877045,oucontent,1.0,1.0,AAA2014J
324,877393,url,,,AAA2014J
325,877077,oucontent,,,AAA2014J
326,877196,resource,,,AAA2014J
327,877236,resource,,,AAA2014J
328,877042,oucontent,,,AAA2014J
329,877386,url,,,AAA2014J
330,877074,oucontent,,,AAA2014J
331,877138,resource,,,AAA2014J
332,877187,resource,,,AAA2014J
333,877231,resource,,,AAA2014J
334,877039,oucontent,,,AAA2014J
335,877383,url,,,AAA2014J
336,877071,oucontent,,,AAA2014J
337,877134,subpage,,,AAA2014J
338,877182,resource,,,AAA2014J
339,877228,resource,,,AAA2014J
340,877036,oucontent,,,AAA2014J
341,877379,oucollaborate,,,AAA2014J
342,877068,oucontent,,,AAA2014J
343,877129,subpage,,,AAA2014J
344,877168,resource,,,AAA2014J
345,877224,resource,,,AAA2014J
346,877033,oucontent,,,AAA2014J
347,877264,resource,,,AAA2014J
348,877065,oucontent,,,AAA2014J
349,877099,oucontent,,,AAA2014J
350,877158,resource,,,AAA2014J
351,877221,resource,,,AAA2014J
352,877030,homepage,,,AAA2014J
353,877261,resource,,,AAA2014J
354,877062,oucontent,,,AAA2014J
355,1072236,resource,,,AAA2014J
356,877095,oucontent,,,AAA2014J
357,877155,resource,,,AAA2014J
358,877218,resource,,,AAA2014J
359,877026,forumng,,,AAA2014J
360,877258,resource,,,AAA2014J
361,877059,oucontent,,,AAA2014J
362,1010323,resource,,,AAA2014J
363,877092,oucontent,,,AAA2014J
364,877152,resource,,,AAA2014J
365,877215,resource,,,AAA2014J
366,877015,forumng,,,AAA2014J
367,877254,resource,,,AAA2014J
368,877056,oucontent,,,AAA2014J
369,877421,dataplus,,,AAA2014J
370,877089,oucontent,,,AAA2014J
371,877149,resource,,,AAA2014J
372,877212,resource,,,AAA2014J
373,877248,resource,,,AAA2014J
374,877053,oucontent,,,AAA2014J
375,877403,url,,,AAA2014J
376,877086,oucontent,,,AAA2014J
377,877146,resource,,,AAA2014J
378,877209,resource,,,AAA2014J
379,877245,resource,,,AAA2014J
380,877050,oucontent,,,AAA2014J
381,877398,url,,,AAA2014J
382,877082,oucontent,,,AAA2014J
383,877143,resource,,,AAA2014J
384,877206,resource,,,AAA2014J
385,877242,resource,,,AAA2014J
386,877047,oucontent,,,AAA2014J
387,877395,url,,,AAA2014J
388,877079,oucontent,,,AAA2014J
389,877198,resource,,,AAA2014J
390,877238,resource,,,AAA2014J
391,877044,oucontent,1.0,1.0,AAA2014J
392,877392,url,,,AAA2014J
393,877076,oucontent,,,AAA2014J
394,877140,resource,,,AAA2014J
395,877195,resource,,,AAA2014J
396,877234,resource,,,AAA2014J
397,877041,oucontent,,,AAA2014J
398,877385,url,,,AAA2014J
399,877073,oucontent,,,AAA2014J
400,877137,resource,,,AAA2014J
401,877186,resource,,,AAA2014J
402,877230,resource,,,AAA2014J
403,877038,oucontent,,,AAA2014J
404,877381,url,,,AAA2014J
405,877070,oucontent,,,AAA2014J
406,877133,subpage,,,AAA2014J
407,877180,resource,,,AAA2014J
408,877227,resource,,,AAA2014J
409,877035,oucontent,,,AAA2014J
410,877266,resource,,,AAA2014J
411,877067,oucontent,,,AAA2014J
412,877128,subpage,,,AAA2014J
413,543306,resource,,,BBB2013B
414,542803,forumng,,,BBB2013B
415,543170,resource,,,BBB2013B
416,543040,subpage,,,BBB2013B
417,543202,resource,,,BBB2013B
418,543074,subpage,,,BBB2013B
419,543236,resource,,,BBB2013B
420,543106,resource,,,BBB2013B
421,543274,resource,,,BBB2013B
422,543138,resource,,,BBB2013B
423,542799,forumng,,,BBB2013B
424,543167,resource,,,BBB2013B
425,543037,url,,,BBB2013B
426,543199,resource,,,BBB2013B
427,543071,subpage,,,BBB2013B
428,543233,resource,,,BBB2013B
429,543103,resource,,,BBB2013B
430,543271,resource,,,BBB2013B
431,543135,resource,,,BBB2013B
432,543303,resource,,,BBB2013B
433,542796,forumng,,,BBB2013B
434,543164,resource,,,BBB2013B
435,543031,url,,,BBB2013B
436,543196,resource,,,BBB2013B
437,543067,subpage,,,BBB2013B
438,543230,resource,,,BBB2013B
439,543100,resource,,,BBB2013B
440,543268,resource,,,BBB2013B
441,543132,resource,,,BBB2013B
442,543300,resource,,,BBB2013B
443,542792,forumng,,,BBB2013B
444,543161,resource,,,BBB2013B
445,543027,url,,,BBB2013B
446,543193,resource,,,BBB2013B
447,543063,subpage,,,BBB2013B
448,543227,resource,,,BBB2013B
449,543097,resource,,,BBB2013B
450,543259,resource,,,BBB2013B
451,543265,resource,,,BBB2013B
452,543129,resource,,,BBB2013B
453,543297,resource,,,BBB2013B
454,543158,resource,,,BBB2013B
455,543024,url,,,BBB2013B
456,543190,resource,,,BBB2013B
457,543060,subpage,,,BBB2013B
458,543224,resource,,,BBB2013B
459,543094,resource,,,BBB2013B
460,543256,resource,,,BBB2013B
461,543262,resource,,,BBB2013B
462,543126,resource,,,BBB2013B
463,543294,resource,,,BBB2013B
464,543155,resource,,,BBB2013B
465,543021,url,,,BBB2013B
466,543187,resource,,,BBB2013B
467,543057,subpage,,,BBB2013B
468,543221,resource,,,BBB2013B
469,543091,resource,,,BBB2013B
470,543253,resource,,,BBB2013B
471,543123,resource,,,BBB2013B
472,543291,resource,,,BBB2013B
473,543152,resource,,,BBB2013B
474,542894,quiz,,,BBB2013B
475,543184,resource,,,BBB2013B
476,543054,subpage,,,BBB2013B
477,543217,resource,,,BBB2013B
478,543088,resource,,,BBB2013B
479,543250,resource,,,BBB2013B
480,543120,resource,,,BBB2013B
481,543288,resource,,,BBB2013B
482,543324,ouelluminate,,,BBB2013B
483,542891,quiz,,,BBB2013B
484,543181,resource,,,BBB2013B
485,543051,subpage,,,BBB2013B
486,543213,resource,,,BBB2013B
487,543085,resource,,,BBB2013B
488,543247,resource,,,BBB2013B
489,543117,resource,,,BBB2013B
490,543285,resource,,,BBB2013B
491,543149,resource,,,BBB2013B
492,543314,resource,,,BBB2013B
493,542812,glossary,,,BBB2013B
494,543178,resource,,,BBB2013B
495,543048,subpage,,,BBB2013B
496,543210,resource,,,BBB2013B
497,543082,resource,,,BBB2013B
498,543244,resource,,,BBB2013B
499,543114,resource,,,BBB2013B
500,543282,resource,,,BBB2013B
501,543146,resource,,,BBB2013B
502,543311,resource,,,BBB2013B
503,542808,forumng,,,BBB2013B
504,543175,resource,,,BBB2013B
505,543045,subpage,,,BBB2013B
506,543207,resource,,,BBB2013B
507,543079,resource,,,BBB2013B
508,543241,resource,,,BBB2013B
509,543111,resource,,,BBB2013B
510,543279,resource,,,BBB2013B
511,543143,resource,,,BBB2013B
512,543308,resource,,,BBB2013B
513,542805,forumng,,,BBB2013B
514,543172,resource,,,BBB2013B
515,543042,subpage,,,BBB2013B
516,543204,resource,,,BBB2013B
517,543076,subpage,,,BBB2013B
518,543238,resource,,,BBB2013B
519,543108,resource,,,BBB2013B
520,543276,resource,,,BBB2013B
521,543140,resource,,,BBB2013B
522,542802,forumng,,,BBB2013B
523,543169,resource,,,BBB2013B
524,543039,subpage,,,BBB2013B
525,543201,resource,,,BBB2013B
526,543073,subpage,,,BBB2013B
527,543235,resource,,,BBB2013B
528,543105,resource,,,BBB2013B
529,543273,resource,,,BBB2013B
530,543137,resource,,,BBB2013B
531,543305,resource,,,BBB2013B
532,542798,forumng,,,BBB2013B
533,543166,resource,,,BBB2013B
534,543036,url,,,BBB2013B
535,543198,resource,,,BBB2013B
536,543069,subpage,,,BBB2013B
537,543232,resource,,,BBB2013B
538,543102,resource,,,BBB2013B
539,543270,resource,,,BBB2013B
540,543134,resource,,,BBB2013B
541,543302,resource,,,BBB2013B
542,542795,forumng,,,BBB2013B
543,543163,resource,,,BBB2013B
544,543029,url,,,BBB2013B
545,543195,resource,,,BBB2013B
546,543066,subpage,,,BBB2013B
547,543229,resource,,,BBB2013B
548,543099,resource,,,BBB2013B
549,543261,resource,,,BBB2013B
550,543267,resource,,,BBB2013B
551,543131,resource,,,BBB2013B
552,543299,resource,,,BBB2013B
553,543160,resource,,,BBB2013B
554,543026,url,,,BBB2013B
555,543192,resource,,,BBB2013B
556,543062,subpage,,,BBB2013B
557,543226,resource,,,BBB2013B
558,543096,resource,,,BBB2013B
559,543258,resource,,,BBB2013B
560,543264,resource,,,BBB2013B
561,543128,resource,,,BBB2013B
562,543296,resource,,,BBB2013B
563,543157,resource,,,BBB2013B
564,543023,url,,,BBB2013B
565,543189,resource,,,BBB2013B
566,543059,subpage,,,BBB2013B
567,543223,resource,,,BBB2013B
568,543093,resource,,,BBB2013B
569,543255,resource,,,BBB2013B
570,543125,resource,,,BBB2013B
571,543293,resource,,,BBB2013B
572,543154,resource,,,BBB2013B
573,543020,url,,,BBB2013B
574,543186,resource,,,BBB2013B
575,543056,subpage,,,BBB2013B
576,543220,resource,,,BBB2013B
577,543090,resource,,,BBB2013B
578,543252,resource,,,BBB2013B
579,543122,resource,,,BBB2013B
580,543290,resource,,,BBB2013B
581,542893,quiz,,,BBB2013B
582,543183,resource,,,BBB2013B
583,543053,subpage,,,BBB2013B
584,543215,resource,,,BBB2013B
585,543087,resource,,,BBB2013B
586,543249,resource,,,BBB2013B
587,543119,resource,,,BBB2013B
588,543287,resource,,,BBB2013B
589,543151,resource,,,BBB2013B
590,543322,sharedsubpage,,,BBB2013B
591,542889,oucontent,,,BBB2013B
592,543180,resource,,,BBB2013B
593,543050,subpage,,,BBB2013B
594,543212,resource,,,BBB2013B
595,543084,resource,,,BBB2013B
596,543246,resource,,,BBB2013B
597,543116,resource,,,BBB2013B
598,543284,resource,,,BBB2013B
599,543148,resource,,,BBB2013B
600,543313,resource,,,BBB2013B
601,542811,forumng,,,BBB2013B
602,543177,resource,,,BBB2013B
603,543047,subpage,,,BBB2013B
604,543209,resource,,,BBB2013B
605,543081,resource,,,BBB2013B
606,543243,resource,,,BBB2013B
607,543113,resource,,,BBB2013B
608,543281,resource,,,BBB2013B
609,543145,resource,,,BBB2013B
610,543310,resource,,,BBB2013B
611,542807,forumng,,,BBB2013B
612,543174,resource,,,BBB2013B
613,543044,subpage,,,BBB2013B
614,543206,resource,,,BBB2013B
615,543078,resource,,,BBB2013B
616,543240,resource,,,BBB2013B
617,543110,resource,,,BBB2013B
618,543278,resource,,,BBB2013B
619,543142,resource,,,BBB2013B
620,543307,resource,,,BBB2013B
621,542804,forumng,,,BBB2013B
622,543171,resource,,,BBB2013B
623,543041,subpage,,,BBB2013B
624,543203,resource,,,BBB2013B
625,543075,subpage,,,BBB2013B
626,543237,resource,,,BBB2013B
627,543107,resource,,,BBB2013B
628,543275,resource,,,BBB2013B
629,543139,resource,,,BBB2013B
630,542800,forumng,,,BBB2013B
631,543168,resource,,,BBB2013B
632,543038,url,,,BBB2013B
633,543200,resource,,,BBB2013B
634,543072,subpage,,,BBB2013B
635,543234,resource,,,BBB2013B
636,543104,resource,,,BBB2013B
637,543272,resource,,,BBB2013B
638,543136,resource,,,BBB2013B
639,543304,resource,,,BBB2013B
640,542797,forumng,,,BBB2013B
641,543165,resource,,,BBB2013B
642,543032,url,,,BBB2013B
643,543197,resource,,,BBB2013B
644,543068,subpage,,,BBB2013B
645,543231,resource,,,BBB2013B
646,543101,resource,,,BBB2013B
647,543269,resource,,,BBB2013B
648,543133,resource,,,BBB2013B
649,543301,resource,,,BBB2013B
650,542794,forumng,,,BBB2013B
651,543162,resource,,,BBB2013B
652,543028,url,,,BBB2013B
653,543194,resource,,,BBB2013B
654,543065,subpage,,,BBB2013B
655,543228,resource,,,BBB2013B
656,543098,resource,,,BBB2013B
657,543260,resource,,,BBB2013B
658,543266,resource,,,BBB2013B
659,543130,resource,,,BBB2013B
660,543298,resource,,,BBB2013B
661,543159,resource,,,BBB2013B
662,543025,url,,,BBB2013B
663,543191,resource,,,BBB2013B
664,543061,subpage,,,BBB2013B
665,543225,resource,,,BBB2013B
666,543095,resource,,,BBB2013B
667,543257,resource,,,BBB2013B
668,543263,resource,,,BBB2013B
669,543127,resource,,,BBB2013B
670,543295,resource,,,BBB2013B
671,543156,resource,,,BBB2013B
672,543022,url,,,BBB2013B
673,543188,resource,,,BBB2013B
674,543058,subpage,,,BBB2013B
675,543222,resource,,,BBB2013B
676,543092,resource,,,BBB2013B
677,543254,resource,,,BBB2013B
678,543124,resource,,,BBB2013B
679,543292,resource,,,BBB2013B
680,543153,resource,,,BBB2013B
681,542895,quiz,,,BBB2013B
682,543185,resource,,,BBB2013B
683,543055,subpage,,,BBB2013B
684,543218,resource,,,BBB2013B
685,543089,resource,,,BBB2013B
686,543251,resource,,,BBB2013B
687,543121,resource,,,BBB2013B
688,543289,resource,,,BBB2013B
689,542892,quiz,,,BBB2013B
690,543182,resource,,,BBB2013B
691,543052,subpage,,,BBB2013B
692,543214,resource,,,BBB2013B
693,543086,resource,,,BBB2013B
694,543248,resource,,,BBB2013B
695,543118,resource,,,BBB2013B
696,543286,resource,,,BBB2013B
697,543150,resource,,,BBB2013B
698,543315,resource,,,BBB2013B
699,542864,homepage,,,BBB2013B
700,543179,resource,,,BBB2013B
701,543049,subpage,,,BBB2013B
702,543211,resource,,,BBB2013B
703,543083,resource,,,BBB2013B
704,543245,resource,,,BBB2013B
705,543115,resource,,,BBB2013B
706,543283,resource,,,BBB2013B
707,543147,resource,,,BBB2013B
708,543312,resource,,,BBB2013B
709,542810,forumng,,,BBB2013B
710,543176,resource,,,BBB2013B
711,543046,subpage,,,BBB2013B
712,543208,resource,,,BBB2013B
713,543080,resource,,,BBB2013B
714,543242,resource,,,BBB2013B
715,543112,resource,,,BBB2013B
716,543280,resource,,,BBB2013B
717,543144,resource,,,BBB2013B
718,543309,resource,,,BBB2013B
719,542806,forumng,,,BBB2013B
720,543173,resource,,,BBB2013B
721,543043,subpage,,,BBB2013B
722,543205,resource,,,BBB2013B
723,543077,subpage,,,BBB2013B
724,543239,resource,,,BBB2013B
725,543109,resource,,,BBB2013B
726,543277,resource,,,BBB2013B
727,543141,resource,,,BBB2013B
728,703732,forumng,,,BBB2013J
729,704084,resource,9.0,9.0,BBB2013J
730,703951,subpage,11.0,11.0,BBB2013J
731,704116,resource,22.0,22.0,BBB2013J
732,703986,resource,,,BBB2013J
733,704148,resource,,,BBB2013J
734,704018,resource,,,BBB2013J
735,704180,resource,,,BBB2013J
736,704050,resource,,,BBB2013J
737,704212,resource,,,BBB2013J
738,704081,resource,6.0,6.0,BBB2013J
739,703948,subpage,8.0,8.0,BBB2013J
740,704113,resource,19.0,19.0,BBB2013J
741,703983,resource,,,BBB2013J
742,704145,resource,,,BBB2013J
743,704015,resource,,,BBB2013J
744,704177,resource,,,BBB2013J
745,704047,resource,,,BBB2013J
746,704209,resource,,,BBB2013J
747,703729,forumng,,,BBB2013J
748,704078,resource,4.0,4.0,BBB2013J
749,703945,subpage,4.0,4.0,BBB2013J
750,704110,resource,15.0,15.0,BBB2013J
751,703979,resource,,,BBB2013J
752,704142,resource,,,BBB2013J
753,704012,resource,,,BBB2013J
754,704174,resource,,,BBB2013J
755,704044,resource,,,BBB2013J
756,704206,resource,,,BBB2013J
757,703726,forumng,,,BBB2013J
758,703942,subpage,,,BBB2013J
759,704107,resource,14.0,14.0,BBB2013J
760,703974,subpage,,,BBB2013J
761,704139,resource,,,BBB2013J
762,704009,resource,,,BBB2013J
763,704171,resource,,,BBB2013J
764,704041,resource,,,BBB2013J
765,704203,resource,,,BBB2013J
766,703722,forumng,,,BBB2013J
767,704075,resource,4.0,4.0,BBB2013J
768,704238,url,25.0,25.0,BBB2013J
769,703939,subpage,,,BBB2013J
770,704104,resource,14.0,14.0,BBB2013J
771,703971,subpage,,,BBB2013J
772,704136,resource,,,BBB2013J
773,704006,resource,,,BBB2013J
774,704168,resource,,,BBB2013J
775,704038,resource,,,BBB2013J
776,704200,resource,,,BBB2013J
777,704071,resource,1.0,1.0,BBB2013J
778,703901,oucontent,,,BBB2013J
779,704101,resource,,,BBB2013J
780,703968,subpage,,,BBB2013J
781,704133,resource,,,BBB2013J
782,704003,resource,,,BBB2013J
783,704165,resource,,,BBB2013J
784,704035,resource,,,BBB2013J
785,704197,resource,,,BBB2013J
786,704067,resource,,,BBB2013J
787,704235,url,20.0,20.0,BBB2013J
788,703897,quiz,,,BBB2013J
789,704098,resource,,,BBB2013J
