,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,code_mod_pres,unique_identifier
158,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,336207AAA2013J
159,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,AAA2013J,339972AAA2013J
160,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,AAA2013J,341872AAA2013J
161,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,AAA2013J,342007AAA2013J
162,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,AAA2013J,342514AAA2013J
163,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,AAA2013J,342972AAA2013J
164,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,AAA2013J,343446AAA2013J
165,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,AAA2013J,344282AAA2013J
166,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,AAA2013J,345068AAA2013J
167,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,AAA2013J,345357AAA2013J
168,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,AAA2013J,346025AAA2013J
169,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,AAA2013J,346843AAA2013J
170,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,350188AAA2013J
171,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,AAA2013J,354858AAA2013J
172,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,AAA2013J,357668AAA2013J
173,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,AAA2013J,364177AAA2013J
174,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,AAA2013J,365244AAA2013J
175,365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,AAA2013J,365642AAA2013J
176,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,AAA2013J,366483AAA2013J
177,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,AAA2013J,368194AAA2013J
178,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,AAA2013J,368824AAA2013J
179,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,AAA2013J,368963AAA2013J
180,376439,M,North Region,HE Qualification,,0-35,0,60,N,Distinction,AAA2013J,376439AAA2013J
181,376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,AAA2013J,376581AAA2013J
182,380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,AAA2013J,380953AAA2013J
183,383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,383254AAA2013J
184,386924,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass,AAA2013J,386924AAA2013J
185,386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,AAA2013J,386952AAA2013J
186,388722,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,AAA2013J,388722AAA2013J
187,388885,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,388885AAA2013J
188,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,AAA2013J,390890AAA2013J
189,392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,AAA2013J,392756AAA2013J
190,392931,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,AAA2013J,392931AAA2013J
191,393207,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,AAA2013J,393207AAA2013J
192,396872,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass,AAA2013J,396872AAA2013J
193,398552,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail,AAA2013J,398552AAA2013J
194,401869,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,AAA2013J,401869AAA2013J
195,402470,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,AAA2013J,402470AAA2013J
196,404804,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass,AAA2013J,404804AAA2013J
197,405088,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,AAA2013J,405088AAA2013J
198,405961,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn,AAA2013J,405961AAA2013J
199,414117,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,AAA2013J,414117AAA2013J
200,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn,AAA2013J,415969AAA2013J
201,420087,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,AAA2013J,420087AAA2013J
202,429958,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,AAA2013J,429958AAA2013J
203,441018,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass,AAA2013J,441018AAA2013J
204,441888,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,AAA2013J,441888AAA2013J
205,442442,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn,AAA2013J,442442AAA2013J
206,444677,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Distinction,AAA2013J,444677AAA2013J
207,470588,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,AAA2013J,470588AAA2013J
208,489455,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,489455AAA2013J
209,494424,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,AAA2013J,494424AAA2013J
210,495284,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,Pass,AAA2013J,495284AAA2013J
211,498857,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,498857AAA2013J
212,508818,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,AAA2013J,508818AAA2013J
213,512460,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,Pass,AAA2013J,512460AAA2013J
214,544103,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Pass,AAA2013J,544103AAA2013J
215,550383,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass,AAA2013J,550383AAA2013J
216,564450,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,Fail,AAA2013J,564450AAA2013J
217,568601,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,AAA2013J,568601AAA2013J
218,572652,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Pass,AAA2013J,572652AAA2013J
219,580389,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,Pass,AAA2013J,580389AAA2013J
220,581129,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,AAA2013J,581129AAA2013J
221,588775,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,588775AAA2013J
222,591774,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,AAA2013J,591774AAA2013J
223,603861,M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn,AAA2013J,603861AAA2013J
224,606143,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail,AAA2013J,606143AAA2013J
225,704156,M,South Region,HE Qualification,90-100%,55<=,0,120,N,Pass,AAA2013J,704156AAA2013J
226,705379,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,Distinction,AAA2013J,705379AAA2013J
227,721259,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn,AAA2013J,721259AAA2013J
228,749412,M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,Pass,AAA2013J,749412AAA2013J
229,760729,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,Distinction,AAA2013J,760729AAA2013J
230,905042,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,905042AAA2013J
231,949618,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,AAA2013J,949618AAA2013J
232,958987,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,Pass,AAA2013J,958987AAA2013J
233,968578,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,AAA2013J,968578AAA2013J
234,969076,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn,AAA2013J,969076AAA2013J
235,971027,F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,Pass,AAA2013J,971027AAA2013J
236,978739,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Pass,AAA2013J,978739AAA2013J
237,1035023,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,AAA2013J,1035023AAA2013J
238,1105478,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass,AAA2013J,1105478AAA2013J
239,1352868,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn,AAA2013J,1352868AAA2013J
240,1401935,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,AAA2013J,1401935AAA2013J
241,1402638,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass,AAA2013J,1402638AAA2013J
